문항ID,항해,주제,날짜,진술,정답,해설,출처명,출처URL
Q14,5,5·18민주화운동,5월 18일,5·18민주화운동 관련 기록물은 유네스코 세계기록유산에 등재된 적이 없다.,X,5·18민주화운동 관련 기록물은 2011년 유네스코 세계기록유산에 등재되었습니다.,유네스코 · 세계기록유산,https://www.unesco.org/en/memory-world/human-rights-documentary-heritage-1980-archives-may-18th-democratic-uprising-against-military-regime
Q15,5,5·18민주화운동,5월 18일,5·18민주화운동은 민주주의 요구와 무관한 지역 문화축제로 시작되었다.,X,5·18민주화운동은 신군부 세력을 거부하고 민주화를 요구하며 일어난 시민들의 항쟁이었습니다.,국가보훈부 · 국립5·18민주묘지,https://www.mpva.go.kr/518/contents.do?key=417
Q16,6,현충일,6월 6일,현충일은 순국선열과 전몰 호국용사의 희생을 기리기 위해 1956년에 제정되었다.,O,현충일은 나라를 위해 헌신하고 희생한 분들의 애국정신을 기리고 명복을 기원하기 위해 1956년에 제정되었습니다.,국가기록원 · 기념일과 기록,https://theme.archives.go.kr/next/specialDay/subInfo.do?specialDayId=00000069
Q17,6,현충일,6월 6일,현충일에는 태극기를 깃봉 끝까지 올려 경축일과 같은 방식으로 게양한다.,X,현충일에는 추모의 뜻을 담아 태극기를 조기로 게양합니다. 깃면의 세로 길이만큼 깃봉에서 내려 답니다.,행정안전부 · 현충일 태극기 게양 안내,https://www.mois.go.kr/html/taegeukgi/0606.html
Q18,6,현충일,6월 6일,1956년 처음 제정될 때부터 공식 명칭은 지금과 똑같이 ‘현충일’이었다.,X,"처음 지정될 때의 명칭은 ‘현충기념일’이었고, 1975년에 ‘현충일’로 변경되었습니다.",국가기록원 · 기념일과 기록,https://theme.archives.go.kr/next/specialDay/subInfo.do?specialDayId=00000069
Q19,7,6·10민주항쟁,6월 10일,1987년 6월 10일 범국민대회를 계기로 6월민주항쟁이 본격적으로 시작되었다.,O,1987년 6월 10일 열린 범국민대회를 계기로 대통령 직선제와 민주화를 요구하는 시위가 전국으로 확산되었습니다.,민주화운동기념사업회 · 오픈아카이브,https://archives.kdemo.or.kr/collections/view/10000074
Q20,7,6·10민주항쟁,6월 10일,6월민주항쟁의 핵심 요구는 대통령 간선제를 그대로 유지하자는 것이었다.,X,6월민주항쟁의 핵심 요구 가운데 하나는 국민이 대통령을 직접 뽑는 직선제 개헌이었습니다.,국가기록원 · 제9차 헌법개정,https://theme.archives.go.kr/next/rule/sub2_10.do
Q21,7,6·10민주항쟁,6월 10일,6월민주항쟁의 결과 발표된 6·29선언에는 대통령 직선제 수용이 포함되었다.,O,"6·29선언을 통해 대통령 직선제 개헌이 수용되었고, 이후 국민투표를 거쳐 현행 헌법의 기반이 마련되었습니다.",국가기록원 · 헌법이야기,https://theme.archives.go.kr/next/rule/sub2_10.do
Q22,8,제헌절,7월 17일,대한민국 제헌헌법은 1948년 7월 17일 공포되어 그날부터 효력이 발생했다.,O,"제헌헌법은 1948년 7월 12일 국회를 통과했고, 7월 17일 서명·공포되어 그날부터 시행되었습니다.",국가기록원 · 헌법개정사,https://theme.archives.go.kr/next/rule/sub2.do
Q23,8,제헌절,7월 17일,제헌절은 대한민국의 국경일이 아니다.,X,"제헌절은 3·1절, 광복절, 개천절, 한글날과 함께 대한민국의 5대 국경일 가운데 하나입니다.",행정안전부 · 우리나라 국가상징,https://www.mois.go.kr/chd/sub/a05/celebrationDay/screen.do
Q24,8,제헌절,7월 17일,1948년 제헌헌법은 지금까지 한 번도 개정되지 않았다.,X,대한민국 헌법은 여러 차례 개정되었습니다. 현행 헌법은 1987년 국민투표로 확정된 제9차 개정 헌법입니다.,국가기록원 · 헌법이야기,https://theme.archives.go.kr/next/rule/viewMain.do
Q25,9,광복절,8월 15일,"‘광복’은 빛을 되찾는다는 뜻으로, 빼앗긴 국권을 회복했다는 의미를 담고 있다.",O,"광복은 ‘빛을 되찾다’라는 뜻이며, 일제의 식민 통치에서 벗어나 나라의 주권을 되찾았다는 의미입니다.",국가기록원 · 오늘의 기록,https://theme.archives.go.kr/next/daily/viewMain.do?selectDay=20130815
Q26,9,광복절,8월 15일,광복절은 1945년의 해방과 1948년 대한민국 정부 수립을 함께 기념한다.,O,광복절은 1945년 8월 15일 국권 회복과 1948년 8월 15일 대한민국 정부 수립을 함께 경축하는 국경일입니다.,국가기록원 · 오늘의 기록,https://theme.archives.go.kr/next/daily/viewMain.do?selectDay=20130815
Q27,9,광복절,8월 15일,현재 불리는 ‘광복절의 노래’는 1950년에 제정되었다.,O,국가기록원 자료에 따르면 ‘광복절의 노래’는 1950년에 제정되었습니다.,국가기록원 · 오늘의 기록,https://theme.archives.go.kr/next/daily/viewMain.do?selectDay=20130815
Q28,10,한글날,10월 9일,한글날 기념식은 1945년부터 10월 9일에 열리기 시작했다.,O,훈민정음 해례본의 기록을 근거로 날짜를 계산해 1945년부터 10월 9일에 한글날을 기념하기 시작했습니다.,국립국어원 · 한글날의 유래,https://www.korean.go.kr/front/mcfaq/mcfaqView.do?mcfaq_seq=9028
Q29,10,한글날,10월 9일,세종은 1443년에 훈민정음을 창제하고 1446년에 반포했다.,O,국립국어원 자료는 세종이 1443년에 훈민정음을 창제하고 1446년에 반포했다고 설명합니다.,국립국어원 · 새국어생활,https://www.korean.go.kr/nkview/nklife/2013_3/23_0302.pdf
Q30,10,한글날,10월 9일,1926년 처음 열린 한글 기념식의 이름도 처음부터 ‘한글날’이었다.,X,1926년 첫 기념식은 ‘가갸날’이라는 이름으로 열렸습니다. 이후 ‘한글날’이라는 명칭이 자리 잡았습니다.,국립국어원 · 한글날의 유래,https://www.korean.go.kr/front/mcfaq/mcfaqView.do?mcfaq_seq=9028
